ACK_ID,ROW_ORDER,PROVIDER_ELIGIBLE_NAME,PROVIDER_ELIGIBLE_EIN,PROVIDER_ELIGIBLE_US_ADDRESS1,PROVIDER_ELIGIBLE_US_ADDRESS2,PROVIDER_ELIGIBLE_US_CITY,PROVIDER_ELIGIBLE_US_STATE,PROVIDER_ELIGIBLE_US_ZIP,PROV_ELIGIBLE_FOREIGN_ADDRESS1,PROV_ELIGIBLE_FOREIGN_ADDRESS2,PROV_ELIGIBLE_FOREIGN_CITY,PROV_ELIGIBLE_FOREIGN_PROV_ST,PROV_ELIGIBLE_FOREIGN_CNTRY,PROV_ELIGIBLE_FOREIGN_POST_CD
"20150107131404P030033261751001",1,"LINCOLN NATIONAL LIFE INSURANCE CO","351140070",,,,,,,,,,,
"20150107174140P030033513863001",1,"TIAA","131624203",,,,,,,,,,,
"20150108120123P040036346023001",1,"THE NORTHERN TRUST","361561860",,,,,,,,,,,
"20150108120123P040036346023001",2,"WELLS FARGO BANK","941347393",,,,,,,,,,,
"20150108120123P040036346023001",3,"COMERICA","421741646",,,,,,,,,,,
"20150108120123P040036346023001",4,"C S MCKEE, LP","251900687",,,,,,,,,,,
"20150108124108P040036396327001",1,"LINCOLN NATIONAL LIFE INSURANCE CO","351140070",,,,,,,,,,,
"20150108160422P030034644647001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150109152600P030035957959001",1,"JOHN HANCOCK LIFE INSURANCE COMPANY","010233346",,,,,,,,,,,
"20150112050525P040011679757001",1,"WELLS FARGO",,"420 MONTGOMERY STREET",,"SAN FRANCISCO","CA","94104",,,,,,
"20150112050525P040011679757001",2,"THIRD AVENUE",,"622 THIRD AVENUE",,"NEW YORK","NY","10017",,,,,,
"20150112050525P040011679757001",3,"T. ROWE",,"100 EAST PRATT STREET",,"BALTIMORE","MD","21202",,,,,,
"20150112050525P040011679757001",4,"PIONEER",,"60 STATE STREET",,"BOSTON","MA","02109",,,,,,
"20150112050525P040011679757001",5,"JANUS",,"151 DETROIT STREET",,"DENVER","CO","80206",,,,,,
"20150112050525P040011679757001",6,"HARBOR",,"111 S WACKER DRIVE","34TH FLOOR","CHICAGO","IL","60606",,,,,,
"20150112050525P040011679757001",7,"FIDELITY ADVISOR",,"82 DEVONSHIRE STREET",,"BOSTON","MA","02109",,,,,,
"20150112050525P040011679757001",8,"FEDERATED",,"FEDERATED INVESTORS TOWER","101 LIBERTY AVENUE","PITTSBURGH","PA","15222",,,,,,
"20150112050525P040011679757001",9,"CALVERT FUNDS",,"4550 MONTGOMERY AVENUE","SUITE 1125N","BETHESDA","MD","20814",,,,,,
"20150112050525P040011679757001",10,"BLACKROCK BOND",,"40 EAST 52ND STREET",,"NEW YORK","NY","10022",,,,,,
"20150112050525P040011679757001",11,"BARON",,"767 FIFTH AVENUE","49TH FLOOR","NEW YORK","NY","10153",,,,,,
"20150112050525P040011679757001",12,"AMERICAN FUNDS",,"333 SOUTH HOPE STREET",,"LOS ANGELES","CA","90071",,,,,,
"20150112050525P040011679757001",13,"AMERICAN BEACON",,"4151 AMON CARTER BLVD",,"FORT WORTH","TX","76155",,,,,,
"20150112050525P040011679757001",14,"AMERICAN CENTURY",,"PO BOX 419200",,"KANSAS CITY","MO","64141",,,,,,
"20150112063409P030039710311001",1,"WELLS FARGO",,"420 MONTGOMERY STREET",,"SAN FRANCISCO","CA","94104",,,,,,
"20150112063409P030039710311001",2,"THIRD AVENUE",,"622 THIRD AVENUE",,"NEW YORK","NY","10017",,,,,,
"20150112063409P030039710311001",3,"T. ROWE",,"100 EAST PRATT STREET",,"BALTIMORE","MD","21202",,,,,,
"20150112063409P030039710311001",4,"PIONEER",,"60 STATE STREET",,"BOSTON","MA","02109",,,,,,
"20150112063409P030039710311001",5,"JANUS",,"151 DETROIT ST.",,"DENVER","CO","80206",,,,,,
"20150112063409P030039710311001",6,"HARBOR",,"111 S. WACKER DRIVE","34TH FLOOR","CHICAGO","IL","60606",,,,,,
"20150112063409P030039710311001",7,"FIDELITY",,"82 DEVONSHIRE ST.",,"BOSTON","MA","02109",,,,,,
"20150112063409P030039710311001",8,"FEDERATED",,"FEDERATED INVESTMENT TOWER","101 LIBERTY AVENUE","PITTSBURGH","PA","15222",,,,,,
"20150112063409P030039710311001",9,"CALVERT FUNDS",,"4550 MONTGOMERY AVE.","SUITE 1125N","BETHESDA","MD","20814",,,,,,
"20150112063409P030039710311001",10,"BLACKROCK",,"40 EAST 52ND STREET",,"NEW YORK","NY","10022",,,,,,
"20150112063409P030039710311001",11,"BARON",,"767 FIFTH AVENUE","49TH FLOOR","NEW YORK","NY","10153",,,,,,
"20150112063409P030039710311001",12,"AMERICAN FUNDS",,"333 SOUTH HOPE STREET",,"LOS ANGELES","CA","90071",,,,,,
"20150112063409P030039710311001",13,"AMERICAN CENTURY",,"P.O. BOX 419200",,"KANSAS CITY","MO","64141",,,,,,
"20150112063409P030039710311001",14,"AMERICAN BEACON",,"4151 AMON CARTER BLVD",,"FORT WORTH","TX","76155",,,,,,
"20150112104055P030056341377001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150112152610P040011926509001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150112154146P030040270295001",1,"FIDELITY INVESTMENTS INSTITUTIONAL","042647786",,,,,,,,,,,
"20150112170407P030056950033001",1,"MATRIX FINANCIAL SOLUTIONS","201591048","700 17TH STREET, STE 300",,"DENVER","CO","80202",,,,,,
"20150112170407P030056950033001",2,"COMMONWEALTH FINANCIAL NETWORK","042675571",,,,,,,,,,,
"20150113084822P040012339037001",1,"LINCOLN NATIONAL LIFE","350472300","8801 INDIAN HILLS DRIVE",,"OMAHA","NE","68114",,,,,,
"20150113122430P030041642935001",1,"AMERICAN BEACON ADVISORS, INC.","752147195",,,,,,,,,,,
"20150113122430P030041642935001",2,"FIDELITY CONTR FUND",,"82 DEVONSHIRE STREET",,"BOSTON","MA","02109",,,,,,
"20150113122430P030041642935001",3,"COHEN & STEERS CAPITAL MGMT INC","134082187",,,,,,,,,,,
"20150113122430P030041642935001",4,"DODGE & COX","941441976",,,,,,,,,,,
"20150113122430P030041642935001",5,"EAGLE ASSET MANAGEMENT INC","592548029",,,,,,,,,,,
"20150113122430P030041642935001",6,"HARBOR SERVICES GROUP, INC","341953399",,,,,,,,,,,
"20150113122430P030041642935001",7,"INVESCO GLOBAL CASH MANAGEMENT",,"PO BOX 4333",,"HOUSTON","TX","77210",,,,,,
"20150113122430P030041642935001",8,"PIMCO","330629048",,,,,,,,,,,
"20150113122430P030041642935001",9,"SENTINEL GROUP FUNDS INC",,"PO BOX 55929",,"BOSTON","MA","02205",,,,,,
"20150113122430P030041642935001",10,"T ROWE PRICE ASSOCIATES INC","520556948",,,,,,,,,,,
"20150113122430P030041642935001",11,"THE VANGUARD GROUP, INC.","231945930",,,,,,,,,,,
"20150113201840P030042250711001",1,"PRINCIPAL LIFE INSURANCE COMPANY","420127290",,,,,,,,,,,
"20150114072054P030043191303001",1,"BNY MELLON","135160382",,,,,,,,,,,
"20150114082524P030043298615001",1,"BNY MELLON","135160382",,,,,,,,,,,
"20150114082930P040044709751001",1,"PIMCO","330629048",,,,,,,,,,,
"20150114084706P030060053009001",1,"WASATCH","870319391",,,,,,,,,,,
"20150114084706P030060053009001",2,"BNY MELLON","135160382",,,,,,,,,,,
"20150114085929P040044733895001",1,"THORNBURG","850301299",,,,,,,,,,,
"20150114090148P040061037937001",1,"LIONGATE",,,,,,,"103 MOUNT ST",,"LONDON",,"GB","W1K2TJ"
"20150114090148P040061037937001",2,"BNY MELLON","135160382",,,,,,,,,,,
"20150114090148P040061037937001",3,"SSARIS","320017121",,,,,,,,,,,
