,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
0,Biel Performance Boats LLC,Biel Performance Boats LLC,1857 Patterson Avenue Unit 2,Deland,FL,32724.0,biel performance boats llc,32724,1857,0.0,-81.2991645663,29.0631629833,1857.0
1,Blu Grotto,"Blu Grotto, LLC",1811 Town Center Blvd,Orange Park,FL,32003.0,blu grotto,32003,1811,17.0,-81.7177621753,30.085370309,2077.0
2,Body Parts of America,"Body Parts of America -Pensacola, Inc",8121 Pensacola Blvd.,Pensacola,FL,32534.0,body parts of america,32534,8121,8.0,-87.2713561117,30.5141428554,8110.0
3,Embarq,Embarq Management Company,555 Lake Border Drive,Apopka,FL,32703.0,embarq,32703,555,0.0,-81.4651538792,28.6714046742,555.0
4,Northwest Airlines,Northwest Airlines,5729 Hoover Blvd,Tampa,FL,33634.0,northwest airlines,33634,5729,15.0,-82.5337115421,28.0016216313,5729.0
5,McDonald's,"Paris Enterprises, LLC",9260 NW 39th Ave,Gainesville,FL,32605.0,mcdonalds,32605,9260,8.0,-82.3656351088,29.688743728,2838.0
6,U.S. Post Office,U.S. Post Office,1315 Oakfield Drive,Brandon,FL,33511.0,us post office,33511,1315,0.0,-82.3024621078,27.9340030339,1315.0
7,Wakulla Urgent Care,Wakulla Urgent Care and Diagnostic Center PLC,1325 Coastal Hwy,Panacea,FL,32346.0,wakulla urgent care,32346,1325,0.0,-84.3902214059,30.0275974011,1325.0
8,Burger King,"The Great American Holding Co., Inc.",2900 SE 36th Avenue,Ocala,FL,34471.0,burger king,34471,2900,0.0,-82.0869652442,29.1590216919,2900.0
9,Friendly's,Congress Ice Cream LLC,14701 S. Military Trail,Delray Beach,FL,33445.0,friendlys,33445,14701,2.0,-80.1226312906,26.4578394709,14701.0
10,CSX Transportation Inc,CSX Corporation,"500 Water Street, S/C J455",Jacksonville,FL,32202.0,csx transportation inc,32202,500,0.0,-81.6653624341,30.3262202444,500.0
11,May Nursery Inc.,May Nursery Inc.,178 May Nursery Road,Havana,FL,32333.0,may nursery inc,32333,178,0.0,-84.4273044259,30.6285727822,178.0
12,"The Main Street Cafe, Inc.","The Main Street Cafe of Milton, Inc.",6820 Caroline Street,Milton,FL,32570.0,the main street cafe inc,32570,6820,0.0,-87.0385131283,30.6221946962,6820.0
13,Unitek USA,FTS USA LLC,307 E. North Blvd,Leesburg,FL,34748.0,unitek usa,34748,307,2.0,-81.8743866052,28.8160871673,100.0
14,Baker Concrete Construction,Baker Concrete Construction Inc.,8321 NW 90th Street,Miami,FL,33166.0,baker concrete construction,33166,8321,10.0,-80.3309246445,25.8551478302,8299.0
15,"ProVest, LLC","ProVest, LLC",4520 Seedling Circle,Tampa,FL,33614.0,provest llc,33614,4520,13.0,-82.5197980146,28.0179991037,4520.0
16,Natural Gallery Granite Direct Inc,"Natural Gallery Granite Direct, Inc.",1478 International Speedway Blvd,Daytona Beach,FL,32114.0,natural gallery granite direct inc,32114,1478,0.0,-81.0575128589,29.1962998313,1478.0
17,"Koon's Farms, Inc.","Koon's Farms, Inc.",1007 NE Shady Oaks Road,Mayo,FL,32066.0,koons farms inc,32066,1007,0.0,-83.1634867561,30.077085384,1007.0
18,"U.S. Security Associates, Inc.","U.S. Security Associates, Inc.","11330 St. Johns Industrial Pkwy N, 1B",Jacksonville,FL,32246.0,us security associates inc,32246,11330,10.0,-81.53012294,30.2811717653,11330.0
19,Taco Bell #261,Yum! Brands Inc.,1855 East Memorial blvd,Lakeland,FL,33801.0,taco bell #261,33801,1855,0.0,-81.926674058,28.0498674492,1855.0
20,Soapy's Car Wash,"FRL, Inc",1621 SW 19th Avenue,Ocala,FL,34474.0,soapys car wash,34474,1621,7.0,-82.1561310185,29.1723925913,2800.0
21,Southland Pinestraw LLC,Southland Pinestraw LLC,621 South Fletcher Avenue,Mayo,FL,32066.0,southland pinestraw llc,32066,621,6.0,-83.175166324,30.04719,599.0
22,Built Right Construction,"Built Right Construction, Inc.",1315 W 53rd Street,West Palm Beach,FL,33407.0,built right construction,33407,1315,15.0,-80.0756162937,26.759221009,1315.0
23,"Rennick, Young, Cohen and Associates","Rennick, Young, Cohen and Associates, LLC","7960 BayMeadows Way, Suite 102",Jacksonville,FL,32256.0,rennick young cohen and associates,32256,7960,0.0,-81.5860388739,30.2358420228,7960.0
24,Baymeadows Inn & Suites,"Apex Holding, Inc.",8050 Baymeadows Circle West,Jacksonville,FL,32256.0,baymeadows inn & suites,32256,8050,0.0,-81.5675284838,30.2288624778,8050.0
25,Habaneros Mexican Grill,Habaneros  #2 Mexican Restaurant Inc,1265 SR 436 East,Casselberry,FL,32707.0,habaneros mexican grill,32707,1265,67.0,-81.3218271619,28.6887774575,1173.0
26,Shady Oaks Living Center,Shady Oaks Living Center,2208 E. 138th Ave.,Tampa,FL,33613.0,shady oaks living center,33613,2208,10.0,-82.4344627305,28.0729567476,2208.0
27,Castle Court ALF,Castle Court ALF,9709 N. Nebraska Ave.,Tampa,FL,33612.0,castle court alf,33612,9709,0.0,-82.4511330853,28.0376527482,9709.0
28,Dunkley Stucco,"Dunkley Stucco, Inc,","1130 E Donegan, Suite 6",Kissimmee,FL,34744.0,dunkley stucco,34744,1130,20.0,-80.8270455932,28.6320392982,1130.0
29,Phillips Wholesale Consultants,"Phillips Wholesale Consultants, Inc.",2402 N. Market Street,Jacksonville,FL,32206.0,phillips wholesale consultants,32206,2402,2.0,-81.6507224808,30.3521379756,2402.0
30,Sunshine Day Care Center,Sunshine Day Care Center,1336 S. 14th Street,Fernandina Beach,FL,32034.0,sunshine day care center,32034,1336,2.0,-81.4506836378,30.687139958,1336.0
31,Thompson's Day Care,Thompson's Day Care,216 S. 13th Street,Fernandina Beach,FL,32034.0,thompsons day care,32034,216,0.0,-81.4533857763,30.6673316797,216.0
32,Rick Elliott,"Rick Elliott, Inc.",1667 Palm Beach Drive,Apopka,FL,32712.0,rick elliott,32712,1667,0.0,-81.4778737136,28.6997487175,1667.0
33,"Gonzalez, Marcelo, Sr., FLC","Gonzalez Brothers Harvesting, Inc.",37318 Branch Avenue,Dade City,FL,33525.0,gonzalez marcelo sr flc,33525,37318,1.0,-82.1979236561,28.3825070309,37318.0
34,Lane's Vinyl & Trim,Lane's Vinyl & Trim,4003 Pace Road,Milton,FL,32571.0,lanes vinyl & trim,32571,4003,6.0,-87.1568629584,30.6038441486,4003.0
35,Grannies Restaurant,JSW Foods LLC,514 US Hwy 41 S,Ruskin,FL,33570.0,grannies restaurant,33570,514,34.0,-82.4340153002,27.7149055482,514.0
36,ACI Facilities Maintenance,ACI Facilities Maintenance Inc,3830 Gunn Hwy,Tampa,FL,33618.0,aci facilities maintenance,33618,3830,10.0,-82.5083904918,28.0388257707,3830.0
37,Dr. Joseph L.Torres,"FLORIDA SPORTS AND FAMILY HEALTH CENTER, P.A.",309 West Bass Street,Kissimmee,FL,34741.0,dr joseph ltorres,34741,309,0.0,-81.4072319239,28.2989349608,309.0
38,"Dr. Sanjay Navadia, MD","Hernado Pasco Primary Care, LLC","11373 Cortez Boulevard, Ste 206",Brooksville,FL,34613.0,dr sanjay navadia md,34613,11373,10.0,-82.5368584774,28.5329020195,11373.0
