,Unnamed: 0,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
0,5,Biel Performance Boats LLC,Biel Performance Boats LLC,1857 Patterson Avenue Unit 2,Deland,FL,32724.0,biel performance boats llc,32724,1857,0.0,-81.2991645663187,29.0631629833334,1857.0
1,39,Blu Grotto,"Blu Grotto, LLC",1811 Town Center Blvd,Orange Park,FL,32003.0,blu grotto,32003,1811,17.0,-81.7177621753198,30.085370309022,2077.0
2,53,Body Parts of America,"Body Parts of America -Pensacola, Inc",8121 Pensacola Blvd.,Pensacola,FL,32534.0,body parts of america,32534,8121,8.0,-87.2713561117467,30.5141428553866,8110.0
3,58,Embarq,Embarq Management Company,555 Lake Border Drive,Apopka,FL,32703.0,embarq,32703,555,0.0,-81.4651538792139,28.6714046741846,555.0
4,62,Murton Roofing,,3110 45th ST,West Palm Beach,FL,33407.0,murton roofing,33407,3110,0.0,-80.1003144112031,26.7593256363089,3110.0
5,166,Northwest Airlines,Northwest Airlines,5729 Hoover Blvd,Tampa,FL,33634.0,northwest airlines,33634,5729,15.0,-82.533711542073,28.0016216312924,5729.0
6,193,McDonald's,"Paris Enterprises, LLC",9260 NW 39th Ave,Gainesville,FL,32605.0,mcdonalds,32605,9260,8.0,-82.365635108831,29.6887437279839,2838.0
7,196,U.S. Post Office,U.S. Post Office,1315 Oakfield Drive,Brandon,FL,33511.0,us post office,33511,1315,0.0,-82.302462107777,27.9340030339103,1315.0
8,221,Wakulla Urgent Care,Wakulla Urgent Care and Diagnostic Center PLC,1325 Coastal Hwy,Panacea,FL,32346.0,wakulla urgent care,32346,1325,0.0,-84.3902214058905,30.027597401139,1325.0
9,222,Signature Towers Construction,"Signature Towers Construction, Inc.",2609 N.E. 14th St.,Ocala,FL,34470.0,signature towers construction,34470,2609,51.0,-82.9407272347256,30.5464380511515,
10,225,Burger King,"The Great American Holding Co., Inc.",2900 SE 36th Avenue,Ocala,FL,34471.0,burger king,34471,2900,0.0,-82.086965244187,29.1590216918592,2900.0
11,237,Friendly's,Congress Ice Cream LLC,14701 S. Military Trail,Delray Beach,FL,33445.0,friendlys,33445,14701,2.0,-80.1226312905679,26.4578394709069,14701.0
12,258,CSX Transportation Inc,CSX Corporation,"500 Water Street, S/C J455",Jacksonville,FL,32202.0,csx transportation inc,32202,500,0.0,-81.6653624341173,30.3262202444413,500.0
13,260,May Nursery Inc.,May Nursery Inc.,178 May Nursery Road,Havana,FL,32333.0,may nursery inc,32333,178,0.0,-84.4273044258627,30.6285727822385,178.0
14,261,"The Main Street Cafe, Inc.","The Main Street Cafe of Milton, Inc.",6820 Caroline Street,Milton,FL,32570.0,the main street cafe inc,32570,6820,0.0,-87.0385131283258,30.6221946961987,6820.0
15,315,Unitek USA,FTS USA LLC,307 E. North Blvd,Leesburg,FL,34748.0,unitek usa,34748,307,2.0,-81.8743866052477,28.8160871673201,100.0
16,329,Baker Concrete Construction,Baker Concrete Construction Inc.,8321 NW 90th Street,Miami,FL,33166.0,baker concrete construction,33166,8321,10.0,-80.3309246445114,25.8551478301644,8299.0
17,330,"ProVest, LLC","ProVest, LLC",4520 Seedling Circle,Tampa,FL,33614.0,provest llc,33614,4520,13.0,-82.5197980145657,28.0179991037281,4520.0
18,332,Natural Gallery Granite Direct Inc,"Natural Gallery Granite Direct, Inc.",1478 International Speedway Blvd,Daytona Beach,FL,32114.0,natural gallery granite direct inc,32114,1478,0.0,-81.0575128589459,29.1962998312879,1478.0
19,369,Roberto Sierra- HP,Roberto Sierra - HP,2950 Joshua Estates St.,Arcadia,FL,34266.0,roberto sierra- hp,34266,2950,100.0,-81.8261243406917,27.1898619545555,
20,370,"Mosqueda, Andres - HP","Mosqueda, Andres - HP",2529 N.E. Washington St.,Arcadia,FL,34265.0,mosqueda andres - hp,34265,2529,82.0,-81.2284941178375,29.493969747538,
21,398,"Koon's Farms, Inc.","Koon's Farms, Inc.",1007 NE Shady Oaks Road,Mayo,FL,32066.0,koons farms inc,32066,1007,0.0,-83.1634867561174,30.0770853839588,1007.0
22,417,"U.S. Security Associates, Inc.","U.S. Security Associates, Inc.","11330 St. Johns Industrial Pkwy N, 1B",Jacksonville,FL,32246.0,us security associates inc,32246,11330,10.0,-81.5301229400371,30.2811717653446,11330.0
23,428,Taco Bell #261,Yum! Brands Inc.,1855 East Memorial blvd,Lakeland,FL,33801.0,taco bell #261,33801,1855,0.0,-81.9266740580056,28.0498674492342,1855.0
24,460,Soapy's Car Wash,"FRL, Inc",1621 SW 19th Avenue,Ocala,FL,34474.0,soapys car wash,34474,1621,7.0,-82.1561310185122,29.1723925912977,2800.0
25,480,Southland Pinestraw LLC,Southland Pinestraw LLC,621 South Fletcher Avenue,Mayo,FL,32066.0,southland pinestraw llc,32066,621,6.0,-83.1751663240141,30.0471899999634,599.0
26,500,Built Right Construction,"Built Right Construction, Inc.",1315 W 53rd Street,West Palm Beach,FL,33407.0,built right construction,33407,1315,15.0,-80.0756162937344,26.7592210089693,1315.0
27,503,"Rennick, Young, Cohen and Associates","Rennick, Young, Cohen and Associates, LLC","7960 BayMeadows Way, Suite 102",Jacksonville,FL,32256.0,rennick young cohen and associates,32256,7960,0.0,-81.5860388739282,30.235842022837,7960.0
28,504,Baymeadows Inn & Suites,"Apex Holding, Inc.",8050 Baymeadows Circle West,Jacksonville,FL,32256.0,baymeadows inn & suites,32256,8050,0.0,-81.5675284837698,30.2288624778137,8050.0
29,510,Habaneros Mexican Grill,Habaneros  #2 Mexican Restaurant Inc,1265 SR 436 East,Casselberry,FL,32707.0,habaneros mexican grill,32707,1265,67.0,-81.3218271619053,28.6887774575341,1173.0
30,520,Shady Oaks Living Center,Shady Oaks Living Center,2208 E. 138th Ave.,Tampa,FL,33613.0,shady oaks living center,33613,2208,10.0,-82.4344627305075,28.0729567475596,2208.0
