,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum
5,Biel Performance Boats LLC,Biel Performance Boats LLC,1857 Patterson Avenue Unit 2,Deland,FL,32724.0,biel performance boats llc,32724,1857
39,Blu Grotto,"Blu Grotto, LLC",1811 Town Center Blvd,Orange Park,FL,32003.0,blu grotto,32003,1811
53,Body Parts of America,"Body Parts of America -Pensacola, Inc",8121 Pensacola Blvd.,Pensacola,FL,32534.0,body parts of america,32534,8121
58,Embarq,Embarq Management Company,555 Lake Border Drive,Apopka,FL,32703.0,embarq,32703,555
62,Murton Roofing,,3110 45th ST,West Palm Beach,FL,33407.0,murton roofing,33407,3110
166,Northwest Airlines,Northwest Airlines,5729 Hoover Blvd,Tampa,FL,33634.0,northwest airlines,33634,5729
193,McDonald's,"Paris Enterprises, LLC",9260 NW 39th Ave,Gainesville,FL,32605.0,mcdonalds,32605,9260
196,U.S. Post Office,U.S. Post Office,1315 Oakfield Drive,Brandon,FL,33511.0,us post office,33511,1315
221,Wakulla Urgent Care,Wakulla Urgent Care and Diagnostic Center PLC,1325 Coastal Hwy,Panacea,FL,32346.0,wakulla urgent care,32346,1325
222,Signature Towers Construction,"Signature Towers Construction, Inc.",2609 N.E. 14th St.,Ocala,FL,34470.0,signature towers construction,34470,2609
225,Burger King,"The Great American Holding Co., Inc.",2900 SE 36th Avenue,Ocala,FL,34471.0,burger king,34471,2900
237,Friendly's,Congress Ice Cream LLC,14701 S. Military Trail,Delray Beach,FL,33445.0,friendlys,33445,14701
258,CSX Transportation Inc,CSX Corporation,"500 Water Street, S/C J455",Jacksonville,FL,32202.0,csx transportation inc,32202,500
260,May Nursery Inc.,May Nursery Inc.,178 May Nursery Road,Havana,FL,32333.0,may nursery inc,32333,178
261,"The Main Street Cafe, Inc.","The Main Street Cafe of Milton, Inc.",6820 Caroline Street,Milton,FL,32570.0,the main street cafe inc,32570,6820
315,Unitek USA,FTS USA LLC,307 E. North Blvd,Leesburg,FL,34748.0,unitek usa,34748,307
329,Baker Concrete Construction,Baker Concrete Construction Inc.,8321 NW 90th Street,Miami,FL,33166.0,baker concrete construction,33166,8321
330,"ProVest, LLC","ProVest, LLC",4520 Seedling Circle,Tampa,FL,33614.0,provest llc,33614,4520
332,Natural Gallery Granite Direct Inc,"Natural Gallery Granite Direct, Inc.",1478 International Speedway Blvd,Daytona Beach,FL,32114.0,natural gallery granite direct inc,32114,1478
369,Roberto Sierra- HP,Roberto Sierra - HP,2950 Joshua Estates St.,Arcadia,FL,34266.0,roberto sierra- hp,34266,2950
370,"Mosqueda, Andres - HP","Mosqueda, Andres - HP",2529 N.E. Washington St.,Arcadia,FL,34265.0,mosqueda andres - hp,34265,2529
398,"Koon's Farms, Inc.","Koon's Farms, Inc.",1007 NE Shady Oaks Road,Mayo,FL,32066.0,koons farms inc,32066,1007
417,"U.S. Security Associates, Inc.","U.S. Security Associates, Inc.","11330 St. Johns Industrial Pkwy N, 1B",Jacksonville,FL,32246.0,us security associates inc,32246,11330
428,Taco Bell #261,Yum! Brands Inc.,1855 East Memorial blvd,Lakeland,FL,33801.0,taco bell #261,33801,1855
460,Soapy's Car Wash,"FRL, Inc",1621 SW 19th Avenue,Ocala,FL,34474.0,soapys car wash,34474,1621
480,Southland Pinestraw LLC,Southland Pinestraw LLC,621 South Fletcher Avenue,Mayo,FL,32066.0,southland pinestraw llc,32066,621
500,Built Right Construction,"Built Right Construction, Inc.",1315 W 53rd Street,West Palm Beach,FL,33407.0,built right construction,33407,1315
503,"Rennick, Young, Cohen and Associates","Rennick, Young, Cohen and Associates, LLC","7960 BayMeadows Way, Suite 102",Jacksonville,FL,32256.0,rennick young cohen and associates,32256,7960
504,Baymeadows Inn & Suites,"Apex Holding, Inc.",8050 Baymeadows Circle West,Jacksonville,FL,32256.0,baymeadows inn & suites,32256,8050
510,Habaneros Mexican Grill,Habaneros  #2 Mexican Restaurant Inc,1265 SR 436 East,Casselberry,FL,32707.0,habaneros mexican grill,32707,1265
520,Shady Oaks Living Center,Shady Oaks Living Center,2208 E. 138th Ave.,Tampa,FL,33613.0,shady oaks living center,33613,2208
521,Castle Court ALF,Castle Court ALF,9709 N. Nebraska Ave.,Tampa,FL,33612.0,castle court alf,33612,9709
551,Dunkley Stucco,"Dunkley Stucco, Inc,","1130 E Donegan, Suite 6",Kissimmee,FL,34744.0,dunkley stucco,34744,1130
606,Crossroads American Grill,"Galanos Food Services, Inc.",385 US Highway 41 Bypass North,Venice,FL,34292.0,crossroads american grill,34292,385
607,Phillips Wholesale Consultants,"Phillips Wholesale Consultants, Inc.",2402 N. Market Street,Jacksonville,FL,32206.0,phillips wholesale consultants,32206,2402
612,Sunshine Day Care Center,Sunshine Day Care Center,1336 S. 14th Street,Fernandina Beach,FL,32034.0,sunshine day care center,32034,1336
613,Thompson's Day Care,Thompson's Day Care,216 S. 13th Street,Fernandina Beach,FL,32034.0,thompsons day care,32034,216
618,Rick Elliott,"Rick Elliott, Inc.",1667 Palm Beach Drive,Apopka,FL,32712.0,rick elliott,32712,1667
619,"Gonzalez, Marcelo, Sr., FLC","Gonzalez Brothers Harvesting, Inc.",37318 Branch Avenue,Dade City,FL,33525.0,gonzalez marcelo sr flc,33525,37318
640,Lane's Vinyl & Trim,Lane's Vinyl & Trim,4003 Pace Road,Milton,FL,32571.0,lanes vinyl & trim,32571,4003
651,Grannies Restaurant,JSW Foods LLC,514 US Hwy 41 S,Ruskin,FL,33570.0,grannies restaurant,33570,514
654,ACI Facilities Maintenance,ACI Facilities Maintenance Inc,3830 Gunn Hwy,Tampa,FL,33618.0,aci facilities maintenance,33618,3830
663,Dr. Joseph L.Torres,"FLORIDA SPORTS AND FAMILY HEALTH CENTER, P.A.",309 West Bass Street,Kissimmee,FL,34741.0,dr joseph ltorres,34741,309
676,"Dr. Sanjay Navadia, MD","Hernado Pasco Primary Care, LLC","11373 Cortez Boulevard, Ste 206",Brooksville,FL,34613.0,dr sanjay navadia md,34613,11373
680,Wholly Smokes Bar-B-Que Restaurant,"B.J.C.K., Inc.",6803 N. Armenia Ave,Tampa,FL,33604.0,wholly smokes bar-b-que restaurant,33604,6803
692,Tradesmen International Operations & Control,"Tradesmen International, Inc.",Building M7-355,Kennedy,FL,32815.0,tradesmen international operations & control,32815,Building M7-355
733,Rainforest Cafe,"Landry's Restaurant, Inc.","12801 W. Sunrise Blvd, #315",Fort Lauderdale,FL,33323.0,rainforest cafe,33323,12801
735,County Line Animal Hospital,"Crittervet, Inc.",15240 County Line Rd,Hudson,FL,34667.0,county line animal hospital,34667,15240
736,Vanguard Cleaning Systems of Tampa,At Your Team Enterprises Inc.,12108 N. 56th St.  Suite D,Tampa,FL,33617.0,vanguard cleaning systems of tampa,33617,12108
741,Dollar Store,The Dollar Store,"12801 W Sunrise Blvd, #935",Sunrise,FL,33323.0,dollar store,33323,12801
742,BrandsMart USA,Interbond,12801 W Sunrise Blvd,Sunrise,FL,33323.0,brandsmart usa,33323,12801
743,CLAIRE'S ACCESSORIES,CLAIRE'S ACCESSORIES,11401 N W 12th STREET,Miami,FL,33172.0,claires accessories,33172,11401
758,Mike Newbern A/C,Mike Newbern A/C Contractor Inc,1136  Berkley Rd,Auburndale,FL,33823.0,mike newbern a/c,33823,1136
759,Bay Tree Lakeside,Taterik Properties LLC,6411 46th Ave North,Saint Petersburg,FL,33709.0,bay tree lakeside,33709,6411
783,Lake Nona Golf and Country Club,"Lake Nona Management Company, LLC",9100 Chiltern Dr,Orlando,FL,32827.0,lake nona golf and country club,32827,9100
793,Walden Lakes Car Wash & Auto Service,"AFT Car Wash, LLC",1414 S Alexander,Plant City,FL,33563.0,walden lakes car wash & auto service,33563,1414
795,El Paraiso Cafe,El Paraiso Cafe,4112 E 7th Ave,Tampa,FL,33605.0,el paraiso cafe,33605,4112
809,SE Cline Construction,"S.E. Cline Construction, Inc.",18 Utility Drive,Palm Coast,FL,32137.0,se cline construction,32137,18
811,5 A Harvesting Co.,5 A Harvesting Co.,887 A Road,Labelle,FL,33935.0,5 a harvesting co,33935,887
827,Tri-County Veterinarians,"Fred Springer DVM, P.A.",5965 SR 207,Elkton,FL,32033.0,tri-county veterinarians,32033,5965
840,"Hallmark Nameplate, Inc","Hallmark Nameplate, Inc.",1717 Lincoln Ave,Mount Dora,FL,32757.0,hallmark nameplate inc,32757,1717
855,Waters Cleaning of Sarasota,"L & L Services of Sarasota, Inc.",1858 University Parkway,Sarasota,FL,34243.0,waters cleaning of sarasota,34243,1858
862,"E & A Cleaning, Inc.","E & A Cleaning, Inc.",529 W. Brannen Road,Lakeland,FL,33813.0,e & a cleaning inc,33813,529
869,Barnhill's Buffet,"Barnhill's Buffet of Tennessee, Inc.",100 Live Oaks Blvd.,Casselberry,FL,32707.0,barnhills buffet,32707,100
878,Andre Joseph,Andre Joseph,1546 Meridan Road,West Palm Beach,FL,33417.0,andre joseph,33417,1546
886,L & E International,L & E International  Services  Inc.,2900 West 84th Street,Hialeah,FL,33018.0,l & e international,33018,2900
900,Ace Septic Tank Service,"Ace Septic Tank Service, Inc.",3551 E. Hartley Court,Hernando,FL,34442.0,ace septic tank service,34442,3551
919,Safe Harbor Animal Sanctuary & Hospital,The Humane Society of Greater Jupiter/Tequest,185 E. Indiantown Road,Jupiter,FL,33477.0,safe harbor animal sanctuary & hospital,33477,185
935,"Cushion Solutions, Inc.",Cushion Solutions Incorporated,802  N. Rome Ave,Tampa,FL,33606.0,cushion solutions inc,33606,802
992,"Orange Co., LP - AGER","Orange Co., LP",12010 NE Highway 70,Arcadia,FL,34266.0,orange co lp - ager,34266,12010
1016,Precision Office Cleaning,"Precision Office Cleaning, LLC",P. O. Box 7351,Lakeland,FL,33807.0,precision office cleaning,33807,P. O. Box 7351
1026,The Cracked Egg,"The Cracked Egg of Weeki Wachee, Inc.",4670 Commercial Way,Brooksville,FL,34604.0,the cracked egg,34604,4670
1034,Maid Pro,"Republic Enterprise Systems, Inc.",1422 E. Fletcher Avenue,tampa,FL,33612.0,maid pro,33612,1422
1038,Julio's Natural Food Emporium,Julio's Natural Food Emporium LLC,1602 NE Miami Gardens Dr,Miami,FL,33179.0,julios natural food emporium,33179,1602
1039,Publix,"Publix Super Markets, Inc.",15880 Summerlin,Fort Myers,FL,33908.0,publix,33908,15880
1042,Pier Restaurant,"Charles Meyers Enterprises, Inc.",215 South A1A,Flagler Beach,FL,32136.0,pier restaurant,32136,215
1044,Jolli Mons Grill Restaurant,"Beach Fire, Inc & Steven D Stagmer (a person)",941 Huntley Avenue,Dunedin,FL,34698.0,jolli mons grill restaurant,34698,941
1045,Fisher Cabinets Company,"Fisher Cabinet Company, L,L.C.",2475 Interstate Circle,Pensacola,FL,32526.0,fisher cabinets company,32526,2475
1046,Bickett Farms - AGER,Bickett Farms,8596 NW CR 661,Arcadia,FL,34266.0,bickett farms - ager,34266,8596
1055,Tomoka Oaks Golf and Country Club,RTH Inc,20 Tomoka Oaks Blvd,Ormond Beach,FL,32174.0,tomoka oaks golf and country club,32174,20
1056,Centro Peruano Arequipeo Restaurant,"Centro Peruano Arequipeno, Inc",2300 SW 8th Street,Miami,FL,33135.0,centro peruano arequipeo restaurant,33135,2300
1059,Plantation Housing Corporation,Plantation Housing Corporation,2425 Sadler Road,Fernandina Beach,FL,32034.0,plantation housing corporation,32034,2425
1093,Jani King #333,Andres & Olga Bermudez,8374 Market St.,Bradenton,FL,34203.0,jani king #333,34203,8374
1130,Mighty Mushroom Pizzeria & Grill,"Might Mushroom, Inc.",2400 Dairy Road,Melbourne,FL,32904.0,mighty mushroom pizzeria & grill,32904,2400
1137,"CRJ Management Services, Inc.","CRJ Management Services, Inc.",12 Miracle Stripe Hwy Ste 203,Fort Walton Beach,FL,32548.0,crj management services inc,32548,12
1141,Mi Peru Restaurant,Mi Peru Trading Company,1760 NE Miami Gardens Drive,Miami,FL,33179.0,mi peru restaurant,33179,1760
1186,William King,WIlliam King,785 Phillips Way,Haines City,FL,33844.0,william king,33844,785
1199,"Nova Surveyor, Inc.","Nova Surveyor, Inc.","5582 N.W. 7 Street, Suite 202",Miami,FL,33126.0,nova surveyor inc,33126,5582
1207,Papa John's Pizza,"L-N-W Pizza, Inc",10344 W. Sample Rd,Coral Springs,FL,33065.0,papa johns pizza,33065,10344
1220,"Berry Patches, Inc.","Berry Patches, Inc.",5807 Downing St.,Dover,FL,33527.0,berry patches inc,33527,5807
1227,Sandbar Grill,"Etyet, Inc.",2602 Bayshore Blvd,Dunedin,FL,34698.0,sandbar grill,34698,2602
1228,Meerkat Underground Cable System,Meerkat Underground Cable System,2225 E. 1031 FP Ave,Tampa,FL,33612.0,meerkat underground cable system,33612,2225
1229,Dr. Lorena Lavarne,"Dr. Lorena Lavarne & Associates, P.A.",1872 South Tamiami Trail; Suite E,Venice,FL,34293.0,dr lorena lavarne,34293,1872
1230,Florida Chemical,Florida Chemical,6810 E. Chelsea St.,Tampa,FL,33610.0,florida chemical,33610,6810
1238,Ancient City Veterinary Hospital,"Fred Springer DVM, P.A.",1967 Old Moultrie Road,Saint Augustine,FL,32086.0,ancient city veterinary hospital,32086,1967
