Average cost of fossil fuels for electricity generation (per Btu) for coal monthly
http://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=8&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.COW-US-98.M&columnchart=ELEC.COST_BTU.COW-US-98.M&map=ELEC.COST_BTU.COW-US-98.M&freq=M&ctype=linechart&ltype=pin&maptype=0&rse=0&pin=
19:49:27 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : electric power dollars per million Btu
Apr 2016,2.1479
Mar 2016,2.1644
Feb 2016,2.1014
Jan 2016,2.1108
Dec 2015,2.1489
Nov 2015,2.1443
Oct 2015,2.1375
Sep 2015,2.209
Aug 2015,2.2249
Jul 2015,2.2049
Jun 2015,2.2457
May 2015,2.2551
Apr 2015,2.2256
Mar 2015,2.2522
Feb 2015,2.253
Jan 2015,2.2803
Dec 2014,2.4995
Nov 2014,2.2939
Oct 2014,2.2979
Sep 2014,2.3617
Aug 2014,2.3547
Jul 2014,2.3648
Jun 2014,2.3747
May 2014,2.3861
Apr 2014,2.3737
Mar 2014,2.3529
Feb 2014,2.3123
Jan 2014,2.2836
Dec 2013,2.3265
Nov 2013,2.3166
Oct 2013,2.328
Sep 2013,2.3337
Aug 2013,2.3153
Jul 2013,2.3017
Jun 2013,2.3479
May 2013,2.3594
Apr 2013,2.3628
Mar 2013,2.3402
Feb 2013,2.3321
Jan 2013,2.3308
Dec 2012,2.3529
Nov 2012,2.3481
Oct 2012,2.3478
Sep 2012,2.3648
Aug 2012,2.3866
Jul 2012,2.3891
Jun 2012,2.3477
May 2012,2.4035
Apr 2012,2.4076
Mar 2012,2.3818
Feb 2012,2.3731
Jan 2012,2.3596
Dec 2011,2.3252
Nov 2011,2.3518
Oct 2011,2.3741
Sep 2011,2.4225
Aug 2011,2.4521
Jul 2011,2.4276
Jun 2011,2.3828
May 2011,2.4153
Apr 2011,2.3616
Mar 2011,2.326
Feb 2011,2.3362
Jan 2011,2.3091
Dec 2010,2.2171
Nov 2010,2.2429
Oct 2010,2.2543
Sep 2010,2.2616
Aug 2010,2.2864
Jul 2010,2.2573
Jun 2010,2.2328
May 2010,2.2511
Apr 2010,2.2812
Mar 2010,2.2994
Feb 2010,2.2527
Jan 2010,2.2112
Dec 2009,2.128
Nov 2009,2.1187
Oct 2009,2.1564
Sep 2009,2.1684
Aug 2009,2.1951
Jul 2009,2.1775
Jun 2009,2.2017
May 2009,2.2182
Apr 2009,2.2057
Mar 2009,2.2746
Feb 2009,2.2497
Jan 2009,2.2073
Dec 2008,2.1379
Nov 2008,2.146
Oct 2008,2.1895
Sep 2008,2.1675
Aug 2008,2.1578
Jul 2008,2.085
Jun 2008,2.0688
May 2008,2.0244
Apr 2008,1.9515
Mar 2008,1.9133
Feb 2008,1.8742
Jan 2008,1.867 
