Average cost of fossil fuels for electricity generation (per Btu) for natural gas monthly
http://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=1&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.NG-US-98.M&columnchart=ELEC.COST_BTU.NG-US-98.M&map=ELEC.COST_BTU.NG-US-98.M&freq=M&ctype=linechart&ltype=pin&pin=&rse=0&maptype=0
19:53:22 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : electric power dollars per million Btu
Apr 2016,2.4356
Mar 2016,2.2565
Feb 2016,2.7345
Jan 2016,3.058
Dec 2015,2.6208
Nov 2015,2.6869
Oct 2015,2.9292
Sep 2015,3.082
Aug 2015,3.1206
Jul 2015,3.123
Jun 2015,3.1317
May 2015,3.168
Apr 2015,3.1222
Mar 2015,3.5906
Feb 2015,4.8382
Jan 2015,4.1599
Dec 2014,4.3585
Nov 2014,4.5416
Oct 2014,4.1043
Sep 2014,4.2104
Aug 2014,4.1293
Jul 2014,4.4427
Jun 2014,4.8542
May 2014,4.9512
Apr 2014,5.1153
Mar 2014,6.1315
Feb 2014,7.6007
Jan 2014,7.2759
Dec 2013,4.985
Nov 2013,4.2568
Oct 2013,4.1564
Sep 2013,4.1144
Aug 2013,3.9331
Jul 2013,4.2277
Jun 2013,4.4477
May 2013,4.6638
Apr 2013,4.7296
Mar 2013,4.4004
Feb 2013,4.4877
Jan 2013,4.4585
Dec 2012,4.2619
Nov 2012,4.3339
Oct 2012,3.9147
Sep 2012,3.4612
Aug 2012,3.5271
Jul 2012,3.4638
Jun 2012,3.1432
May 2012,2.9832
Apr 2012,2.7447
Mar 2012,3.0241
Feb 2012,3.3919
Jan 2012,3.7426
Dec 2011,4.0961
Nov 2011,4.1767
Oct 2011,4.3944
Sep 2011,4.6134
Aug 2011,4.7534
Jul 2011,5.018
Jun 2011,5.1028
May 2011,4.9459
Apr 2011,4.936
Mar 2011,4.7397
Feb 2011,5.1833
Jan 2011,5.5464
Dec 2010,5.5605
Nov 2010,4.4541
Oct 2010,4.3511
Sep 2010,4.5061
Aug 2010,4.9464
Jul 2010,5.2251
Jun 2010,5.1951
May 2010,4.8527
Apr 2010,4.8003
Mar 2010,5.3606
Feb 2010,6.1428
Jan 2010,6.8294
Dec 2009,6.1063
Nov 2009,4.9518
Oct 2009,4.9312
Sep 2009,3.925
Aug 2009,4.1952
Jul 2009,4.3551
Jun 2009,4.5092
May 2009,4.5832
Apr 2009,4.5772
Mar 2009,4.7999
Feb 2009,5.4807
Jan 2009,6.4407
Dec 2008,6.7064
Nov 2008,6.4719
Oct 2008,6.5619
Sep 2008,7.5933
Aug 2008,8.7402
Jul 2008,11.4131
Jun 2008,12.0847
May 2008,10.6947
Apr 2008,9.9365
Mar 2008,9.2982
Feb 2008,8.6599
Jan 2008,8.3175 
