Average cost of fossil fuels for electricity generation (per Btu) for petroleum coke monthly
http://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=2&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.PC-US-98.M&columnchart=ELEC.COST_BTU.PC-US-98.M&map=ELEC.COST_BTU.PC-US-98.M&freq=M&ctype=linechart&ltype=pin&maptype=0&rse=0&pin=
19:51:42 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : electric power dollars per million Btu
Apr 2016,
Mar 2016,
Feb 2016,
Jan 2016,
Dec 2015,
Nov 2015,
Oct 2015,
Sep 2015,
Aug 2015,
Jul 2015,
Jun 2015,
May 2015,
Apr 2015,
Mar 2015,
Feb 2015,
Jan 2015,
Dec 2014,
Nov 2014,
Oct 2014,
Sep 2014,
Aug 2014,
Jul 2014,
Jun 2014,
May 2014,
Apr 2014,
Mar 2014,
Feb 2014,2.0057
Jan 2014,
Dec 2013,
Nov 2013,1.8651
Oct 2013,
Sep 2013,
Aug 2013,
Jul 2013,
Jun 2013,
May 2013,
Apr 2013,
Mar 2013,1.9994
Feb 2013,2.0451
Jan 2013,1.9711
Dec 2012,
Nov 2012,
Oct 2012,
Sep 2012,
Aug 2012,2.3962
Jul 2012,2.3621
Jun 2012,2.238
May 2012,
Apr 2012,
Mar 2012,
Feb 2012,
Jan 2012,2.267
Dec 2011,
Nov 2011,
Oct 2011,
Sep 2011,
Aug 2011,
Jul 2011,3.1818
Jun 2011,2.6362
May 2011,3.2239
Apr 2011,3.1759
Mar 2011,
Feb 2011,
Jan 2011,
Dec 2010,2.527
Nov 2010,2.1311
Oct 2010,2.3722
Sep 2010,2.665
Aug 2010,2.6342
Jul 2010,2.3834
Jun 2010,2.113
May 2010,2.1854
Apr 2010,2.1474
Mar 2010,2.0562
Feb 2010,1.7877
Jan 2010,1.6668
Dec 2009,1.5688
Nov 2009,1.2109
Oct 2009,1.5258
Sep 2009,1.3237
Aug 2009,1.8175
Jul 2009,1.5894
Jun 2009,1.5511
May 2009,1.6781
Apr 2009,1.1243
Mar 2009,1.5474
Feb 2009,1.7401
Jan 2009,1.9486
Dec 2008,1.9963
Nov 2008,1.9679
Oct 2008,2.0072
Sep 2008,2.1181
Aug 2008,2.3585
Jul 2008,1.6003
Jun 2008,1.6614
May 2008,1.7139
Apr 2008,1.5855
Mar 2008,1.6568
Feb 2008,1.5968
Jan 2008,1.4585 
