Average cost of fossil fuels for electricity generation (per Btu) for petroleum liquids monthly
http://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=4&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.PEL-US-98.M&columnchart=ELEC.COST_BTU.PEL-US-98.M&map=ELEC.COST_BTU.PEL-US-98.M&freq=M&ctype=linechart&ltype=pin&pin=&rse=0&maptype=0
19:50:51 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : electric power dollars per million Btu
Apr 2016,
Mar 2016,6.8828
Feb 2016,6.9223
Jan 2016,7.8728
Dec 2015,8.7522
Nov 2015,8.9118
Oct 2015,9.0315
Sep 2015,9.6131
Aug 2015,12.0491
Jul 2015,12.5498
Jun 2015,13.5785
May 2015,12.5486
Apr 2015,13.1702
Mar 2015,12.4875
Feb 2015,12.5085
Jan 2015,12.7449
Dec 2014,13.8697
Nov 2014,16.5198
Oct 2014,18.5187
Sep 2014,19.7012
Aug 2014,
Jul 2014,21.3669
Jun 2014,21.4803
May 2014,21.243
Apr 2014,21.7709
Mar 2014,21.9548
Feb 2014,21.618
Jan 2014,21.8968
Dec 2013,21.0045
Nov 2013,20.1059
Oct 2013,20.8762
Sep 2013,20.1791
Aug 2013,19.7139
Jul 2013,20.5682
Jun 2013,21.0651
May 2013,20.7806
Apr 2013,
Mar 2013,20.1996
Feb 2013,21.077
Jan 2013,21.0857
Dec 2012,20.8665
Nov 2012,22.5432
Oct 2012,22.4241
Sep 2012,
Aug 2012,21.3205
Jul 2012,20.7045
Jun 2012,22.2432
May 2012,23.4212
Apr 2012,24.0016
Mar 2012,23.1339
Feb 2012,22.466
Jan 2012,21.9277
Dec 2011,22.0436
Nov 2011,21.4573
Oct 2011,21.3172
Sep 2011,21.221
Aug 2011,19.7087
Jul 2011,21.6095
Jun 2011,21.6988
May 2011,19.4162
Apr 2011,20.5511
Mar 2011,19.7766
Feb 2011,18.3616
Jan 2011,17.0894
Dec 2010,16.7445
Nov 2010,15.9062
Oct 2010,15.0988
Sep 2010,13.4634
Aug 2010,13.3472
Jul 2010,13.3799
Jun 2010,13.3631
May 2010,13.8697
Apr 2010,14.9929
Mar 2010,13.9926
Feb 2010,13.7764
Jan 2010,13.4732
Dec 2009,13.3515
Nov 2009,12.8908
Oct 2009,12.9554
Sep 2009,13.5643
Aug 2009,12.2766
Jul 2009,11.4048
Jun 2009,10.5832
May 2009,9.3652
Apr 2009,9.1957
Mar 2009,8.3465
Feb 2009,8.0399
Jan 2009,8.0966
Dec 2008,8.613
Nov 2008,12.0001
Oct 2008,15.9607
Sep 2008,16.9366
Aug 2008,19.6939
Jul 2008,20.4735
Jun 2008,18.5929
May 2008,17.5884
Apr 2008,15.0128
Mar 2008,15.2342
Feb 2008,15.4001
Jan 2008,14.9671 
