Average retail price of electricity monthly
http://www.eia.gov/electricity/data/browser/#/topic/7?geo=g&agg=0,1&endsec=vg
19:39:18 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States cents per kilowatthour,United States : residential cents per kilowatthour,United States : commercial cents per kilowatthour,United States : industrial cents per kilowatthour
Apr 2016,9.81,12.43,10.09,6.39
Mar 2016,10.01,12.57,10.13,6.47
Feb 2016,9.98,12.14,10.15,6.38
Jan 2016,9.95,12,9.98,6.41
Dec 2015,10,12.36,10.11,6.42
Nov 2015,10.07,12.73,10.27,6.59
Oct 2015,10.32,12.73,10.69,6.87
Sep 2015,10.8,13.06,10.94,7.18
Aug 2015,10.86,12.93,10.9,7.33
Jul 2015,10.96,12.99,11.02,7.44
Jun 2015,10.64,12.93,10.81,7.1
May 2015,10.22,12.95,10.44,6.71
Apr 2015,10.02,12.64,10.32,6.6
Mar 2015,10.27,12.34,10.52,6.81
Feb 2015,10.38,12.29,10.6,6.91
Jan 2015,10.18,12.1,10.26,6.64
Dec 2014,10.12,12.17,10.36,6.7
Nov 2014,10.13,12.48,10.52,6.75
Oct 2014,10.34,12.6,10.83,7.07
Sep 2014,10.83,12.95,11.16,7.37
Aug 2014,10.91,13.04,11.05,7.51
Jul 2014,11.03,13.09,11.17,7.62
Jun 2014,10.75,12.99,10.96,7.39
May 2014,10.21,12.85,10.54,6.83
Apr 2014,10,12.31,10.46,6.77
Mar 2014,10.28,12.25,10.65,6.99
Feb 2014,10.33,11.94,10.68,7.12
Jan 2014,10.12,11.65,10.35,6.98
Dec 2013,9.86,11.72,9.96,6.66
Nov 2013,9.79,12.1,10.03,6.65
Oct 2013,10.02,12.36,10.28,6.87
Sep 2013,10.43,12.51,10.53,7.22
Aug 2013,10.58,12.53,10.69,7.37
Jul 2013,10.69,12.65,10.7,7.45
Jun 2013,10.45,12.54,10.65,7.25
May 2013,9.92,12.4,10.22,6.75
Apr 2013,9.66,11.93,9.96,6.58
Mar 2013,9.71,11.61,10.02,6.64
Feb 2013,9.77,11.63,10.06,6.66
Jan 2013,9.64,11.46,9.77,6.5
Dec 2012,9.64,11.62,9.81,6.52
Nov 2012,9.58,11.75,9.89,6.5
Oct 2012,9.74,12.03,10.08,6.62
Sep 2012,10.26,12.3,10.5,6.97
Aug 2012,10.32,12.17,10.39,7.08
Jul 2012,10.3,12,10.39,7.13
Jun 2012,10.13,12.09,10.39,6.89
May 2012,9.64,11.9,9.96,6.53
Apr 2012,9.47,11.92,9.82,6.38
Mar 2012,9.52,11.7,9.84,6.46
Feb 2012,9.58,11.51,9.94,6.45
Jan 2012,9.61,11.41,9.84,6.44
Dec 2011,9.53,11.4,9.77,6.51
Nov 2011,9.58,11.78,9.98,6.53
Oct 2011,9.83,12.08,10.25,6.77
Sep 2011,10.29,12.17,10.59,7.15
Aug 2011,10.49,12.09,10.72,7.39
Jul 2011,10.47,12.09,10.67,7.32
Jun 2011,10.26,11.97,10.66,7.14
May 2011,9.78,11.93,10.19,6.68
Apr 2011,9.54,11.67,9.96,6.53
Mar 2011,9.55,11.52,9.93,6.53
Feb 2011,9.56,11.06,9.99,6.63
Jan 2011,9.48,10.87,9.78,6.53
Dec 2010,9.52,11.06,9.82,6.6
Nov 2010,9.55,11.62,9.99,6.56
Oct 2010,9.81,11.86,10.25,6.8
Sep 2010,10.17,11.95,10.52,7
Aug 2010,10.4,12.03,10.62,7.22
Jul 2010,10.46,12.04,10.72,7.23
Jun 2010,10.18,11.91,10.56,6.97
May 2010,9.72,11.91,10.15,6.64
Apr 2010,9.53,11.71,9.95,6.55
Mar 2010,9.48,11.11,9.95,6.53
Feb 2010,9.47,10.89,9.89,6.55
Jan 2010,9.28,10.49,9.55,6.5
Dec 2009,9.4,10.9,9.7,6.54
Nov 2009,9.34,11.26,9.78,6.4
Oct 2009,9.7,11.65,10.13,6.7
Sep 2009,10.09,11.96,10.45,6.89
Aug 2009,10.27,11.94,10.52,7.1
Jul 2009,10.28,11.85,10.56,7.1
Jun 2009,10.13,11.81,10.46,7.09
May 2009,9.77,11.78,10.11,6.77
Apr 2009,9.57,11.5,9.87,6.75
Mar 2009,9.64,11.28,9.96,6.81
Feb 2009,9.78,11.18,10.2,6.9
Jan 2009,9.68,10.98,9.96,6.92
Dec 2008,9.53,10.86,9.92,6.79
Nov 2008,9.67,11.42,10.16,6.93
Oct 2008,9.94,11.81,10.41,7.19
Sep 2008,10.27,11.92,10.77,7.31
Aug 2008,10.59,12.09,11.07,7.55
Jul 2008,10.65,12.07,11.1,7.72
Jun 2008,10.27,11.77,10.87,7.35
May 2008,9.47,11.4,10.05,6.75
Apr 2008,9.22,10.93,9.79,6.64
Mar 2008,9.03,10.45,9.62,6.46
Feb 2008,8.9,10.16,9.46,6.34
Jan 2008,8.92,10.14,9.39,6.33
Dec 2007,8.91,10.33,9.42,6.26
Nov 2007,8.94,10.7,9.5,6.28
Oct 2007,9.17,10.82,9.77,6.46
Sep 2007,9.43,10.96,9.9,6.52
Aug 2007,9.68,11.07,10.07,6.84
Jul 2007,9.64,11.07,10.14,6.71
Jun 2007,9.45,11.09,9.95,6.59
May 2007,8.96,10.77,9.51,6.27
