DATE,INDPRO
1919-01-01,5.0585
1919-02-01,4.8349
1919-03-01,4.6952
1919-04-01,4.7790
1919-05-01,4.8070
1919-06-01,5.1144
1919-07-01,5.4218
1919-08-01,5.5056
1919-09-01,5.3939
1919-10-01,5.3380
1919-11-01,5.2541
1919-12-01,5.3380
1920-01-01,5.8410
1920-02-01,5.8410
1920-03-01,5.7292
1920-04-01,5.4218
1920-05-01,5.5615
1920-06-01,5.6174
1920-07-01,5.4777
1920-08-01,5.5056
1920-09-01,5.3100
1920-10-01,5.0864
1920-11-01,4.6672
1920-12-01,4.3877
1921-01-01,4.1362
1921-02-01,4.0524
1921-03-01,3.9406
1921-04-01,3.9406
1921-05-01,4.0524
1921-06-01,4.0244
1921-07-01,3.9965
1921-08-01,4.1362
1921-09-01,4.1642
1921-10-01,4.4157
1921-11-01,4.3598
1921-12-01,4.3319
1922-01-01,4.4995
1922-02-01,4.6952
1922-03-01,4.9467
1922-04-01,4.7790
1922-05-01,5.0305
1922-06-01,5.2821
1922-07-01,5.2821
1922-08-01,5.1703
1922-09-01,5.4498
1922-10-01,5.7572
1922-11-01,6.0087
1922-12-01,6.1764
1923-01-01,6.0367
1923-02-01,6.1205
1923-03-01,6.3161
1923-04-01,6.4559
1923-05-01,6.5397
1923-06-01,6.4838
1923-07-01,6.4279
1923-08-01,6.3161
1923-09-01,6.1764
1923-10-01,6.1484
1923-11-01,6.1484
1923-12-01,6.0087
1924-01-01,6.1484
1924-02-01,6.2602
1924-03-01,6.1484
1924-04-01,5.9528
1924-05-01,5.7013
1924-06-01,5.4498
1924-07-01,5.3659
1924-08-01,5.5615
1924-09-01,5.7572
1924-10-01,5.8969
1924-11-01,6.0087
1924-12-01,6.1764
1925-01-01,6.3720
1925-02-01,6.3720
1925-03-01,6.3720
1925-04-01,6.4279
1925-05-01,6.4000
1925-06-01,6.3441
1925-07-01,6.5118
1925-08-01,6.4000
1925-09-01,6.3161
1925-10-01,6.5676
1925-11-01,6.7074
1925-12-01,6.7912
1926-01-01,6.6794
