,date,nf,ff
0,1970,560,1055
1,1971,533,1143
2,1972,490,1156
3,1973,511,1086
4,1974,509,865
5,1975,539,910
6,1976,471,804
7,1977,442,709
8,1978,434,610
9,1979,437,650
10,1980,362,551
11,1981,338,555
12,1982,401,569
13,1983,409,604
14,1984,407,541
15,1985,402,541
16,1986,452,612
17,1987,398,581
18,1988,378,653
19,1989,381,734
20,1990,332,649
21,1991,323,632
22,1992,325,601
23,1993,281,484
24,1994,283,480
25,1995,305,441
26,1996,255,404
27,1997,303,438
28,1998,352,400
29,1999,304,431
30,2000,341,396
31,2001,275,433
32,2002,312,415
33,2003,280,379
