Retail sales of electricity monthly
http://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g&endsec=vg&linechart=ELEC.SALES.US-ALL.M~ELEC.SALES.US-RES.M~ELEC.SALES.US-COM.M~ELEC.SALES.US-IND.M&columnchart=ELEC.SALES.US-ALL.M~ELEC.SALES.US-RES.M~ELEC.SALES.US-COM.M~ELEC.SALES.US-IND.M&map=ELEC.SALES.US-ALL.M&freq=M&start=200101&end=201412&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
18:21:49 GMT-0700 (PDT)
Source: U.S. Energy Information Administration
Month,United States : all sectors million kilowatthours,United States : residential million kilowatthours,United States : commercial million kilowatthours,United States : industrial million kilowatthours
Apr 2016,266376.19136,88034.75937,101938.02158,75805.42484
Mar 2016,282254.30373,100086.68139,105334.56606,76220.4811
Feb 2016,294196.21694,115913.24926,103341.94867,74291.48547
Jan 2016,317964.64527,130760.24931,110297.6875,76247.52934
Dec 2015,293890.27801,111033.25981,106312.33019,75923.12168
Nov 2015,273308.56077,92383.23449,103941.63133,76377.91235
Oct 2015,293390.20434,99076.28851,112760.56109,80914.88647
Sep 2015,330067.68123,124992.45212,122115.87539,82341.99852
Aug 2015,358995.8666,144090.68042,128387.4221,85891.00635
Jul 2015,359916.36723,145418.21343,128447.88611,85400.13257
Jun 2015,323422.14021,119925.78496,119112.17236,83772.4007
May 2015,285339.22734,94863.2703,109127.16616,80737.93591
Apr 2015,272577.84374,89926.25874,103972.71886,78056.0347
Mar 2015,302727.15518,116865.45938,107786.38785,77393.5853
Feb 2015,304505.40414,123777.43387,105513.97792,74512.17341
Jan 2015,326384.22137,137531.3807,110940.53399,77242.1883
Dec 2014,309619.69283,120800.62015,108070.2444,80122.51809
Nov 2014,285412.58256,99485.77105,104245.46931,81044.19637
Oct 2014,296679.7844,98037.68189,113023.10289,84994.16687
Sep 2014,326907.12123,120741.34746,120048.81267,85489.15774
Aug 2014,351882.99204,135829.7966,125603.00367,89808.40816
Jul 2014,351523.98462,137027.96944,125434.14702,88417.10031
Jun 2014,322791.97998,118049.03675,118422.5304,85711.096
May 2014,291420.86896,95726.76781,109665.54886,85382.98728
Apr 2014,275893.66693,92289.71503,102458.94982,80505.32655
Mar 2014,302388.18814,114232.80446,106967.88672,80539.0692
Feb 2014,308941.13303,128475.35803,104352.64247,75413.26442
Jan 2014,341238.27229,146511.44233,113865.92486,80148.84693
Dec 2013,316474.53483,128966.06076,108762.40498,78067.10006
Nov 2013,281494.32405,97904.01594,103384.47877,79631.57395
Oct 2013,294370.25872,98893.01479,111906.62154,82979.76639
Sep 2013,323477.85626,121419.21582,118407.72153,83024.99127
Aug 2013,353579.59372,138065.06955,127063.27433,87806.36831
Jul 2013,358700.92813,143854.74884,127310.57593,86886.90809
Jun 2013,320200.66137,117982.10632,117410.41288,84169.85683
May 2013,289398.43306,95191.59812,108682.60602,84896.9274
Apr 2013,277781.90748,95540.85075,101394.9418,80216.47132
Mar 2013,297226.03086,112096.72548,104011.35848,80474.38927
Feb 2013,291480.36403,113113.88543,101015.6343,76692.04883
Jan 2013,320682.92852,131784.83713,107728.74656,80505.47227
Dec 2012,297288.12385,114187.60211,104122.34865,78359.60426
Nov 2012,278211.92275,97155.23195,101640.73826,78847.34019
Oct 2012,290735.45792,96669.43338,110471.00997,82995.68967
Sep 2012,318089.70771,118831.34204,116584.97051,82059.90033
Aug 2012,364784.71655,147941.04266,128106.4177,88104.63253
Jul 2012,370962.70076,154579.07102,128535.30752,87219.18043
Jun 2012,325159.86926,122934.13138,118009.39147,83619.0094
May 2012,296968.16897,100895.11737,110800.44713,84677.64946
Apr 2012,270759.60242,88103.20953,101036.70763,81029.67494
Mar 2012,283731.20675,99361.68572,102474.42295,81298.24301
Feb 2012,286982.92448,107975.35744,100080.12366,78298.27379
Jan 2012,310975.3842,125881.48337,105239.31021,79204.65598
Dec 2011,301844.19734,116341.02312,104866.07866,79981.58371
Nov 2011,275235.16385,93220.49602,100552.41991,80872.4358
Oct 2011,288132.88819,94585.12049,108649.56376,84281.7274
Sep 2011,326247.22166,122719.49868,117951.31165,84942.79578
Aug 2011,372719.82806,153738.7326,129368.47817,88987.35194
Jul 2011,370691.91322,154728.9198,128065.43317,87247.10363
Jun 2011,328707.33187,125982.78519,118170.17391,83911.56382
May 2011,287992.74781,97689.09798,107624.53459,82060.54846
Apr 2011,275203.87798,93701.63929,100506.21559,80367.2619
Mar 2011,292051.85887,104922.12296,104257.05814,82209.08469
Feb 2011,296903.49799,120109.96908,99795.53835,76361.23172
Jan 2011,334115.65319,145061.68779,108250.63314,80092.87514
Dec 2010,319047.69506,130013.88415,108026.30702,80313.27654
Nov 2010,274900.06863,93166.13873,101518.93623,79613.8808
