Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,oge_id,case_id,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt,flsa_repeat_violator,flsa_bw_atp_amt,flsa_ee_atp_cnt,flsa_mw_bw_atp_amt,flsa_ot_bw_atp_amt,flsa_15a3_bw_atp_amt,flsa_cmp_assd_amt,sca_violtn_cnt,sca_bw_atp_amt,sca_ee_atp_cnt,mspa_violtn_cnt,mspa_bw_atp_amt,mspa_ee_atp_cnt,mspa_cmp_assd_amt,h1b_violtn_cnt,h1b_bw_atp_amt,h1b_ee_atp_cnt,h1b_cmp_assd_amt,fmla_violtn_cnt,fmla_bw_atp_amt,fmla_ee_atp_cnt,fmla_cmp_assd_amt,flsa_cl_violtn_cnt,flsa_cl_minor_cnt,flsa_cl_cmp_assd_amt,dbra_cl_violtn_cnt,dbra_bw_atp_amt,dbra_ee_atp_cnt,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,flsa_smw14_violtn_cnt,flsa_smw14_bw_amt,flsa_smw14_ee_atp_cnt,cwhssa_violtn_cnt,cwhssa_bw_amt,cwhssa_ee_cnt,osha_violtn_cnt,osha_bw_atp_amt,osha_ee_atp_cnt,osha_cmp_assd_amt,eppa_violtn_cnt,eppa_bw_atp_amt,eppa_ee_cnt,eppa_cmp_assd_amt,h1a_violtn_cnt,h1a_bw_atp_amt,h1a_ee_atp_cnt,h1a_cmp_assd_amt,crew_violtn_cnt,crew_bw_atp_amt,crew_ee_atp_cnt,crew_cmp_assd_amt,ccpa_violtn_cnt,ccpa_bw_atp_amt,ccpa_ee_atp_cnt,flsa_smwpw_violtn_cnt,flsa_smwpw_bw_atp_amt,flsa_smwpw_ee_atp_cnt,flsa_hmwkr_violtn_cnt,flsa_hmwkr_bw_atp_amt,flsa_hmwkr_ee_atp_cnt,flsa_hmwkr_cmp_assd_amt,ca_violtn_cnt,ca_bw_atp_amt,ca_ee_atp_cnt,pca_violtn_cnt,pca_bw_atp_amt,pca_ee_atp_cnt,flsa_smwap_violtn_cnt,flsa_smwap_bw_atp_amt,flsa_smwap_ee_atp_cnt,flsa_smwft_violtn_cnt,flsa_smwft_bw_atp_amt,flsa_smwft_ee_atp_cnt,flsa_smwl_violtn_cnt,flsa_smwl_bw_atp_amt,flsa_smwl_ee_atp_cnt,flsa_smwmg_violtn_cnt,flsa_smwmg_bw_atp_amt,flsa_smwmg_ee_atp_cnt,flsa_smwsl_violtn_cnt,flsa_smwsl_bw_atp_amt,flsa_smwsl_ee_atp_cnt,eev_violtn_cnt,h2b_violtn_cnt,h2b_bw_atp_amt,h2b_ee_atp_cnt,sraw_violtn_cnt,sraw_bw_atp_amt,sraw_ee_atp_cnt,serialid_x,nname_x,nzip,snum_x,Unnamed: 0_y,dba,location_address,location_city,location_zip_code,district,county_number,county_name,license_type_code,license_number,inspection_number,visit_number,inspection_class,inspection_type,inspection_disposition,inspection_date,number_of_critical_violations,number_of_noncritical_violations,number_of_total_violations,number_of_high_priority_violations,number_of_intermediate_violations,number_of_basic_violations,pda_status,approved_source,original_container,time_and_temperature_control,facilities_to_maintain_ph_tcs,food_and_food_equipment_thermometers,ph_tcs_foods_properly_thawed,unwrapped_or_ph_tcs_food_not_re_served,food_protection_cross_contamination,bare_hand_contact_with_rte_food_aop,in_use_food_dispensing_utensils,employee_health_knowledge,hands_washed_and_clean,clean_clothes_hair_restraints,food_contact_and_nonfood_contact,violation15,dishwashing_facilities,violation17,violation18,violation19,violation20,wiping_cloths_clean_and_soiled_linens,food_contact_surfaces_clean,non_food_contact_surfaces_clean,storage_handling_of_clean_equipment,single_service_and_single_use_items,violation26,water_source_safe_hot,sewage_and_wastewater,plumbing_installed,violation30,handwash_sinks,bathrooms,garbage_and_refuse,violation34,no_presence_or_breeding_of_pests,floors_walls_ceilings,violation37,lighting_provided_as_required,violation39,employee_personal_belongings,chemicals_toxic_substances,cleaning_and_maintenance_equip,complete_separation_from_living_area,violation44,fire_extinguishing_equipment,exits_not_blocked_or_locked,electrical_wiring_outlets_in_good_repair,gas_appliances_boiler_certificate,flammable_combustible_materials,current_license_properly_displayed,other_conditions_sanitary_and_safe_operation,misrepresentation_misbranding,food_management_certification_valid,florida_clean_indoor_air_act,automatic_gratuity_notice,violation56,violation57,violation58,license_id,inspection_visit_id,serialid_y,id,nname_y,snum_y,score,jw,match,ss
1189288,1189288,8266,Jupiter Pointe Club & Marina,"JPM Management Services, LLC",18701 S.E. Federal Highway,Jupiter,FL,33469.0,713930.0,95698,1640522,Marinas,15,0.0,14,6148.48,14,2010-04-20,2012-04-19,15,,6148.48,14,0.0,6148.48,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,95699,jupiter pointe club & marina,33469,18701,24345,JUPITER POINTE BAR & GRILLE,18701 SE FEDERAL HWY,TEQUESTA,33469,D2,53,Martin,2010,5301692,2480764,1,Food,Food-Licensing Inspection,Inspection Completed - No Further Action,2015-04-30,,,5,3.0,0.0,2.0,Y,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124663,5542386,30377,30376,jupiter pointe bar & grille,18701,20.272238634675556,0.8998734759604325,0,2.8998734759604323
1296542,1296542,2226,Boston Coffee House,Beantown Enterprise LLC,101 North Alabama Avenue,Deland,FL,32724.0,722211.0,113456,1730959,Limited-Service Restaurants,3,0.0,3,734.14,3,2012-05-17,2014-05-16,3,,734.14,3,0.0,734.14,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,113457,boston coffee house,32724,101,5038,BOSTON GOURMET COFFEHOUSE,101 N ALABAMA AVE,DELAND,32724,D4,74,Volusia,2010,7406643,2404690,1,Food,Routine - Food,Warning Issued,2015-05-26,,,8,1.0,4.0,3.0,Y,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3194424,5298319,88819,88818,boston gourmet coffehouse,101,20.272238634675556,0.8993684210526316,0,2.899368421052632
364142,364142,7116,Hidden Hills Golf Club,"Lucas Fairways, LLC",3901 Monument Road,Jacksonville,FL,32225.0,71391.0,180814,1474905,Golf Courses and Country Clubs,15,1980.0,15,1344.36,11,2005-05-28,2007-05-27,11,R,1344.36,11,0.0,1310.3,34.06,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,4,1980.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,180815,hidden hills golf club,32225,3901,20796,HIDDEN HILLS COUNTRY CLUB,3901 MONUMENT RD,JACKSONVILLE,32225,D5,26,Duval,2010,2600894,2405514,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-07-30,,,17,5.0,2.0,10.0,Y,1,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479428,5299761,93155,93154,hidden hills country club,3901,20.272238634675556,0.8984114832535885,0,2.8984114832535885
1171733,1171733,8348,Katherine's  Island  House  Cafe,"Katherine's Island House, Inc.",3801  Bonita Beach Rd.,Bonita Springs,FL,34134.0,722110.0,149580,1698317,Full-Service Restaurants,10,0.0,9,2128.56,9,2011-07-07,2013-07-06,10,,2128.56,9,0.0,2128.56,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,149581,katherine's  island  house  cafe,34134,3801,24526,KATHERINE'S ISLAND HOUSE INC,3801 BONITA BEACH RD,BONITA SPRINGS,34134,D7,46,Lee,2010,4604766,2400202,1,Food,Routine - Food,Inspection Completed - No Further Action,2015-01-05,,,2,1.0,1.0,0.0,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195982,5290467,122348,122347,katherine's island house inc,3801,20.272238634675556,0.8982142857142857,0,2.898214285714286
1031702,1031702,13859,Springhill Suites Pensacola Beach,"Pensacola Beach, LLC",24 Via De Luna,Pensacola Beach,FL,32561.0,72111.0,68623,1652430,Hotels (except Casino Hotels) and Motels,0,0.0,0,0.0,0,2010-04-12,2012-04-11,0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,68624,springhill suites pensacola beach,32561,24,42999,SPRINGHILL SUITES BREAKFAST AREA,24 VIA DE LUNA DR,PENSACOLA BEACH,32561,D6,27,Escambia,2010,2705803,2433836,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-11-24,,,4,1.0,2.0,1.0,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5807945,5342138,106963,106962,springhill suites breakfast area,24,20.272238634675556,0.8969988344988344,0,2.8969988344988344
820487,820487,2499,Burger King Store #4480,Jan Corporation/ Jan king Inc,14139 US Hwy N,Hudson,FL,34667.0,722110.0,42935,1604294,Full-Service Restaurants,13,0.0,12,629.95,12,2009-04-12,2011-04-11,13,,629.95,12,629.95,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,42936,burger king store #4480,34667,14139,5887,BURGER KING,14139 US 19 N,HUDSON,34667,D3,61,Pasco,2010,6101177,2408752,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-10-02,,,5,0.0,0.0,5.0,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3646558,5304709,49305,49304,burger king,14139,20.272238634675556,0.8956521739130435,0,2.8956521739130436
442237,442237,12562,Riverwalk,"Riverwalk Restaurant at Tin City, LP",1200 5th Ave South,Naples,FL,34102.0,722110.0,203576,1471518,Full-Service Restaurants,2,0.0,2,1207.0,2,2006-01-12,2008-01-11,2,,1207.0,2,0.0,1207.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,203577,riverwalk,34102,1200,39373,RIVERWALK ALE HOUSE,1200 S 5 AVE,NAPLES,34102,D7,21,Collier,2010,2100636,2395365,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-09-11,,,6,1.0,2.0,3.0,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151867,5280475,115981,115980,riverwalk ale house,1200,20.272238634675556,0.8947368421052632,0,2.8947368421052633
1011351,1011351,6455,Golden Corral Buffet & Grill,"GC First Coast, LLC",225 Cypress Drive,Palm Coast,FL,32164.0,722110.0,18672,1550316,Full-Service Restaurants,1,0.0,1,32.75,1,2008-08-05,2009-08-07,1,,32.75,1,32.75,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,18673,golden corral buffet & grill,32164,225,19000,GOLDEN CORRAL,225 CYPRESS EDGE DR,PALM COAST,32164,D5,28,Flagler,2010,2800688,2481507,2,Food,Complaint Full,Call Back - Complied,2015-05-18,,,1,0.0,0.0,1.0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5588585,5559600,99471,99470,golden corral,225,20.272238634675556,0.8928571428571429,0,2.892857142857143
1007663,1007663,4756,Dunkin Donuts,"RAYGENE ENTERPRISE, INC",741 Cassat Avenue,Jacksonville,FL,32205.0,722213.0,57778,1626752,Snack and Nonalcoholic Beverage Bars,3,561.0,4,405.0,3,2010-03-01,2011-11-02,3,R,405.0,3,405.0,0.0,0.0,561.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,57779,dunkin donuts,32205,741,14870,DUNKIN DONUTS-BASKIN ROBBINS,741 CASSAT AVE,JACKSONVILLE,32205,D5,26,Duval,2010,2613181,2392179,1,Food,Routine - Food,Warning Issued,2015-04-15,,,10,1.0,4.0,5.0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2177468,5274155,95686,95685,dunkin donuts-baskin robbins,741,20.272238634675556,0.8928571428571429,0,2.892857142857143
814577,814577,7373,Hull's Seafood Kitchen Restaurant,James G. Hull Inc.,111 W. Granada Blvd.,Ormond Beach,FL,32174.0,7221.0,170709,1443938,Full-Service Restaurants,1,770.0,1,0.0,0,2004-08-04,2006-05-31,0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,770.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,170710,hull's seafood kitchen restaurant,32174,111,21760,HULL'S SEAFOOD TAKE OUT,111 W. GRANADA BLVD,ORMOND BEACH,32174,D4,74,Volusia,2010,7406497,2402682,1,Food,Routine - Food,Inspection Completed - No Further Action,2014-07-03,,,2,1.0,0.0,1.0,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728938,5294597,88622,88621,hull's seafood take out,111,20.272238634675556,0.8928194993412385,0,2.8928194993412384
